"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","MainWindowHandle","MainWindowTitle","Responding","ProcessName","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","Site","Container"
"","10037","0","0","0","0","0",,"",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","10744","0",,"False",,,"0",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"10037",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,,"0","","True","",,,,,
"liquiddetectiond","2318","0","0","0","0","0","/System/Library/CoreServices/liquiddetectiond.app/liquiddetectiond","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","10716","0",,"False",,,"2318",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"2318",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (liquiddetectiond)","0","","True","liquiddetectiond",,,,,
"LegacyProfilesSubscriber","1347","0","0","0","0","0","/System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/LegacyProfilesSubscriber.xpc/Contents/MacOS/LegacyProfilesSubscriber","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","10684","0",,"False",,,"1347",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1347",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (LegacyProfilesSubscriber)","0","","True","LegacyProfilesSubscriber",,,,,
"launchservicesd","146","0","0","0","0","0","/System/Library/CoreServices/launchservicesd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","10660","0",,"False",,,"146",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"146",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (launchservicesd)","0","","True","launchservicesd",,,,,
"launchd","1","0","0","0","0","0","/sbin/launchd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","10628","0",,"False",,,"1",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (launchd)","0","","True","launchd",,,,,
"keybagd","123","0","0","0","0","0","/usr/libexec/keybagd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6444","0",,"False",,,"123",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"123",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (keybagd)","0","","True","keybagd",,,,,
"kernelmanager_helper","655","0","0","0","0","0","/usr/libexec/kernelmanager_helper","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6180","0",,"False",,,"655",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"655",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (kernelmanager_helper)","0","","True","kernelmanager_helper",,,,,
"kernelmanagerd","133","0","0","0","0","0","/usr/libexec/kernelmanagerd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","10528","0",,"False",,,"133",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"133",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (kernelmanagerd)","0","","True","kernelmanagerd",,,,,
"KernelEventAgent","165","0","0","0","0","0","/usr/sbin/KernelEventAgent","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","10500","0",,"False",,,"165",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"165",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (KernelEventAgent)","0","","True","KernelEventAgent",,,,,
"JamfProCommService","827","0","0","0","0","0","/Library/Application Support/JAMF/Jamf.app/Contents/MacOS/JamfDaemon.app/Contents/XPCServices/JamfProCommService.xpc/Contents/MacOS/JamfProCommService","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","10476","0",,"False",,,"827",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"827",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (JamfProCommService)","0","","True","JamfProCommService",,,,,
