"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","MainWindowHandle","MainWindowTitle","Responding","ProcessName","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","Site","Container"
"","10037","0","0","0","0","0",,"",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1388","0",,"False",,,"0",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"10037",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,,"0","","True","",,,,,
"distnoted","159","0","0","0","0","0","/usr/sbin/distnoted","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3828","0",,"False",,,"159",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"159",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (distnoted)","0","","True","distnoted",,,,,
"displaypolicyd","156","0","0","0","0","0","/usr/libexec/displaypolicyd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2424","0",,"False",,,"156",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"156",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (displaypolicyd)","0","","True","displaypolicyd",,,,,
"DiskManagementSubscriber","1349","0","0","0","0","0","/System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/DiskManagementSubscriber.xpc/Contents/MacOS/DiskManagementSubscriber","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3552","0",,"False",,,"1349",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1349",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (DiskManagementSubscriber)","0","","True","DiskManagementSubscriber",,,,,
"diskarbitrationd","134","0","0","0","0","0","/usr/libexec/diskarbitrationd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2360","0",,"False",,,"134",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"134",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (diskarbitrationd)","0","","True","diskarbitrationd",,,,,
"dirhelper","162","0","0","0","0","0","/usr/libexec/dirhelper","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3500","0",,"False",,,"162",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"162",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (dirhelper)","0","","True","dirhelper",,,,,
"sandboxd","170","0","0","0","0","0","/usr/libexec/sandboxd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3940","0",,"False",,,"170",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"170",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (sandboxd)","0","","True","sandboxd",,,,,
"diagnosticservicesd","419","0","0","0","0","0","/System/Library/CoreServices/diagnosticservicesd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3356","0",,"False",,,"419",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"419",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (diagnosticservicesd)","0","","True","diagnosticservicesd",,,,,
"ScreenSharingSubscriber","1345","0","0","0","0","0","/System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ScreenSharingSubscriber.xpc/Contents/MacOS/ScreenSharingSubscriber","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3292","0",,"False",,,"1345",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1345",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (ScreenSharingSubscriber)","0","","True","ScreenSharingSubscriber",,,,,
"deviceinterfaced","646","0","0","0","0","0","/Library/Apple/System/Library/PrivateFrameworks/DeviceInterface.framework/Support/deviceinterfaced","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2772","0",,"False",,,"646",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"646",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (deviceinterfaced)","0","","True","deviceinterfaced",,,,,
